,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Country/Research Organization/Company,Country of Owner,Inventors,Unnamed: 9,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
55,2008204909,W008/086403 ,2008-01-09 00:00:00,Chromones as therapeutic agents ," Unigen, Inc.",Company,United States of America,"Zhao, Ji-Fu ; Jia, Qi ; Yimam, Mesfin ; Tseng-Crank, Julie",-,"Chromone compositions that are effective in enhancing adiponectin
production by adipocytes, and regulating genes ",Various extraction processes,"Acacia, Adina, Aloe, Alternaria, Amoora, Antidesma, Artemisia, Baeckia, Cassia, Clusea,
Cnidium, Convolvulus, Epimedium, Eriosema, Eriostemon, Eugenia, Garcinia, Hypericum,
Lindenbergia, Pancratium, Penicillium, Polygonum, Ptaeroxylon, Rheum, Sophora,
Stephanitis, Syzygium, Talaromyces and Zonaria. In preferred embodiments, the plant is
selected from the group, including but not limited to, Acacia catechu, Acacia concinna, Aloe
arborescens, Aloe barbadensis, Aloe cremnophila, Aloe ferox, Aloe saponaria, Aloe vera,
Aloe vera var. chinensis, Antidesma membranaceum, Artemisia capillaries, Baeckia
frutescens, Epimedium sagittatum, Garcinia dulcis, Hypericum japonicum, Polygonum
cuspidatum, Sophora tomentosa, Stephanitis rhododendri","Obesity, diabetes, and metabolic syndrome ",Y,30/5/2013,17/7/2008,A61K31/35 (2006.01)
56,2007213423,W007/091165 ,2007-02-09 00:00:00, A pharmaceutical composition comprising oenothein C useful for the treatment of peptic ulcer diseases, Council of Scientific and Industrial Research,Research organisation,India," Chinniah, Annalakshmi ; Achari, Basudeb ; Panda, Nilendu ; Banerjee, Sukdeb ; Das, Pratap Kumar ; Goswami, Suchandra ; Sahu, Niranjan Prasad",-,"Use of a compound oenothein C in
the treatment of peptic ulcer diseases ",Traditional ayurvedic preparation method,Woodfordia fruticosa,"Gastric ulcer, duodenal ulcer and also
gastritis, gastro esophageal reflux disorder (GERD)",Y,2012-06-12 00:00:00,16/8/2007,"A61K31/7048 (2006.01)
"
57,2006294415,W007/033419 ,2006-09-22 00:00:00,Composition and method for inhibiting herpesviridae infections ,Viratec Pty Ltd,Company,Australia," Turner, Ross Walter ; Tversky, Jonathan",-,"A pharmaceutical composition when used for inhibiting a
herpesviridae infection and/or providing relief from a herpesviridae infection in a
subject",Pharmaceutical composition preparation method ,Asteraceae ,Herpesviridae infections,Y,2013-07-03 00:00:00,29/3/2007,A61K36/28 (2006.01)
58,2012200390,-,17/01/2012,"Treatment and/or prevention of inflammation and cutaneous photodamage and photoprotection of the skin with a water-soluble extract from plant of solanum genus
","G & E Herbal Biotechnology Co., Ltd.        ",Company,China,"Kuo,Kou-Wha ; heu,Hamm-Ming
",China,Composition and Uses,Cosmetic Composition,"Solanum undatum,Solanum incanum Ruiz. & Pav.,Solanum coagulans Forsskal,Solanum indicum,Solanum nigrum,Solanum capsicastrum,Solanum xanthocarpum,Solanum melongena,Solanum coagulans,Solanum tuberosum,Solanum sodomeum,Solanum turburosum,Solanum aculeastrum,Solanum lycocarpum,Solanum khasianum,Solanum suaveolens,Solanum uporo,Solanum abutiloides,Solanum coccineum,Solanum unguiculatum,Solanum robustum,Solanum anguivi,Solanum platanifolium,Solanum mammosum","Inflammation and cutaneous photodamage,",Y,20/02/2014,29/11/2012,A61K36/81
59,2010280722,WO11/015668,2010-09-08 00:00:00,"Use of cajeput and Pimenta racemosa extract for treating parasitic infestation of fish
","Mars,Incorporated        ",Company,America,"Bettina Schelkle
",Belgium,Composition and Uses,Administration of the Extract,"Cajeput,Pimenta racemosa",Parasitic infestation,Y,29/05/2014,2011-10-02 00:00:00,A61K36/61
60,2008241370,"W008/128295 
",22/04/2008,Essential oil of kunzea ambigua and methods of use,"Hood,John James David",Individual,Australia,"Hood, John James David",Australia,Method of preparation,Tropical Administration,Kunzea ambigua,Parasitic infestation,N,26/06/2014,30/10/2008,A61K36/61
61,2009286447,"WO10/023572 
",2009-04-08 00:00:00,"Herbal extract as sensitivity enhancer toward insulin and antidiabetes
",PT. Dexa Medica,Company,Indonesia,Raymond R Tjandrawinata;Sinambela James M;R.W Deasy Diah Dwi;Mayasari Olivia;Melissa Puspasari,Indonesia,Composition and Uses,Drug,"Cinnamomum burmannii,Lagerstroemia speciosa",Type -2 Diabetis,Y,27/02/2014,2010-04-03 00:00:00,A61P3/10
62,2008273073,W009/008697,2008-09-07 00:00:00,"Extract from palm leaves and a method for producing the same
",Universiti Putra Malaysia       ,Research Organisation,Malasiya,Abdul Razak Myrsyida;Jafri Juliana;Natasya Ahmad Intan;Mohamed Mustapha Noordin; Mohamed Suhaila,Malasiya,Method of Preparation,Tea,"Hemp Palm
",Cardiovascualr Diseases,Y,2014-10-04 00:00:00,15/01/2009,A61K36/00
63,2013242845,-,2013-11-10 00:00:00,Anti-inflammatory dissolvable film ,  Izun Pharmaceuticals Corporation,Company,United States of America,"  Saffer, Aron J. ; Loewy, Zvi G. ; Levine, William Zev ",-,"It can be used for treatment of periodontal disease, gingivitis, aphthous ulceration; mechanical trauma, 
thermal trauma, the oral lesions, dry mouth, mucositis or eruptions of lichen 
planus, bullous pemphigoid, pemphigus vulgaris, dermatitis herpetiformis or angular 
chelitis, recurrent herpes, other microbial eruptions of the oral mucosa, 
lesions  secondary to chemotherapy or 
radiation treatment, lesions resulting from trauma,
lesions secondary to systemic disease, lesions resulting from autoimmune disease, 
lesions with idiopathic causes",Dissolvable film comprising polymer and herbal extracts that becomes adhesive,"Sambucus nigra;Allium sativum;
Calendula officinalis; Camellia sinensis;Centella asiatica; Commiphora molmol; Echinacea purpurea; Gaultheria 
procumbens ;Hypericum perforatum; Krameria triandra; Ligusticum 
porterii-osha;Matricaria recutita; Melissa officinalis, Salix alba;Thymus vulgaris; 
Uncaria tomentosa;Usnea barbata;Vaccinium ",Inflammatory diseases;lesions caused by diseases,Y,2015-03-09 00:00:00,31-10-2013,  A61K36/82
64,  PCT/CA2010/001657,WO11/047473 ,22-10-2010,  Herbal composition comprising ginger and goldenrod for the treatment of cold and flu,"  Maresins Pharma, Inc.",Company,Canada,"Cyr, Benoit ; Guay, Johane ; Page, Brigitte ; Gendron, Nathalie ",-, It is also capable of  inhibiting the influenza virus in vitro infective activity ,Alcoholic Extraction,Ginger;Goldenrod,Cold;Flu,Y,20-8-2015,28-04-2011,  A61K36/906
65,2015101669,-,13-11-2015,  Plant extracts and uses of same,Jenbrook Pty Ltd,Company,Australia,"  Easson, Bryan ",-,"Cytotoxicity against tested cell lines, and also exhibited antifungal activity.","Heating, extraction",Me/aleuca alternifolia,Cancer,Y,2015-10-12 00:00:00,2015-12-24 00:00:00,  A23F3/42
66,  PCT/US2012/046573,  WO2013/012692,13-07-2012,  Pharmaceutical compositions comprising plant-based polysaccharides and uses thereof,  Bausch & Lomb Incorporated,Company,United States of America,"  Marlowe, Zora Teresa ; Sarkar, Paramita ; Glass, Brian John",-,Relieving the dry eye syndrome. ,Extraction, Tremella fuciformis. ,Relieving discomfort in an eye. ,Y,23-07-2015,2013-01-24 00:00:00,  A61K31/715
67,  PCT/IB2010/001410,WO2010/143058,2010-11-06 00:00:00,  Compositions and methods for the prevention and treatment of heart failure,"  Generex Pharmaceuticals, Inc.",Company,China,"  Li, Ming ; Li, Zhongyu ",-,"Composition of compounds comprised of
triterpenoids and polyphenols for the treatment of heart failure ",Organic Extraction, Geumjaponicum, Heart failure ,Y,2015-03-09 00:00:00,2010-12-16 00:00:00,  A61K31/56
68,2016102079,-,2016-05-12 00:00:00,Chinese herbal medicine for treating gout and preparation method thereof,Jinlin Zou;Jiacai Liu,Individual,-,"Zou, Jinlin;Liu, Jiacai",-,"purine oxidation and the purine synthetase activity are inhibited from the source comprehensively, systematically, harmoniously, and synchronously, and measures for dissolving urate crystals, neutralizing the uric acid in the blood, preventing and treating sudden change of disease state",Alcoholic extraction and oral administration,"dried rehmannia, artificial tiger bone meal, aconitum carmichaelii, cudweed herb, complex calcium, Chinese yam, fructus corni, radix glehniae, ophiopogon japonicas, angelica, rhizoma alismatis, cortex moutan, poria, rhizoma dioscorea hypoglauca, liquorice, Cordyceps and amino sugar",Gout,N,2017-12-01 00:00:00,2017-12-01 00:00:00,A61K 36/8968 (2006.01) A61K 36/40 (2006.01) A61K 31/66 (2006.01) A61K 36/484 (2006.01) A61K 31/7004 (2006.01) A61K 36/65 (2006.01) A61K 31/7008 (2006.01) A61K 36/71 (2006.01) A61K 33/06 (2006.01) A61K 36/714 (2006.01) A61K 35/32 (2006.01) A61K 36/804 (2006.01) A61K 36/068 (2006.01) A61K 36/884 (2006.01) A61K 36/076 (2006.01) A61K 36/8945 (2006.01) A61K 36/23 (2006.01) A61P 19/06 (2006.01) A61K 36/232 (2006.01) A61K 125/00 (2006.01) A61K 36/28 (2006.01)
69,2016101378,-,2016-03-08 00:00:00,"Hot Flush Tea (Black Cohosh, Wild Yam, Skullcap, Ginseng, Red Clover ingredients)",Elissa Scott,Individual,-,"Scott, Elissa",-,limited number of side effects compared with hormone replacement therapy (HRT),Extraction and tea based,"Black Cohosh, Wild Yam, Skullcap, Ginseng, Red Clover",Menopause Symtoms,N,2016-01-09 00:00:00,2016-01-09 00:00:00,A23F 3/34 (2006.01) A61K 36/539 (2006.01) A61K 36/258 (2006.01) A61K 36/8945 (2006.01) A61K 36/29 (2006.01) A61P 43/00 (2006.01)
70,2012359081,W013/096423,19/12/2012,Combination therapy with interferon and andrographolides for multiple sclerosis,"InnoBioscience, LLC",Company,-,"Hancke Orozco, Juan L.;Burgos, Rafael",-,reducing fatigue in a subject in need,extraction with alcohol or with alkaline solutions.,Andrographis paniculata,Multiple Sclerosis (MS) and/or other demyelinating diseases,Y,17/09/2015,17/09/2015,A61K 31/34 (2006.01) A61K 38/21 (2006.01)
71,2012276097,W013/000382,25/06/2012,Fatty acid composition and plant extract and pharmaceutical preparation and applic ation thereof,Junwu Xing;Ning Qu,Individual,-,"Xing, Junwu;Qu, Ning",-,"at least one of cream, paste, suppository, gauze, liniment, aerosol, powder and film, and may also be made into various dosage forms for internal use, including injection and various orally administered dosage forms","physical and chemical extraction and separation, without changing the structure of the active components.",Suaeda plants,"internal tissue injury, skin repairing",N,29/06/2011,28/04/2016,A61K 31/201 (2006.01) A61P 17/02 (2006.01) A61K 8/36 (2006.01) A61P 29/00 (2006.01) A61K 8/97 (2006.01) A61Q 17/04 (2006.01) A61K 31/20 (2006.01) A61Q 19/00 (2006.01)
72,2011358953,WO12/108104,19/12/2011,Hair growth agent / hair tonic,"Kawano Mericlone Co.,Ltd.",Company,-,"Kawano, Michio",-,"External application in the form of ointments, lotions, tonics,
sprays, suspensions, and emulsions. ",extraction solvent include a hydrophilic solvent,Great Flower Marie Laurencin,Hair fall,Y,16/08/2012,17/09/2015,A61K 8/97 (2006.01) A61Q 5/00 (2006.01) A61K 36/18 (2006.01) A61Q 7/00 (2006.01) A61P 17/14 (2006.01)
73,2010341157,WO11/082835,2010-11-01 00:00:00,New synergistic compositions for the treatment of topical viral infections,VITRO-BIO SARL,Company,-,"Shrivastava, Ravi ;Shrivastava, Christiane",-,"infections in skin, mouth cavity, throat, upper respiratory tract, nasal cavity, vaginal mucosa, eye surface and the natural body openings.","extracts can be prepared using extraction techniques with solvents. Solvents used can be, water, alcohol, glycerol, ethylene glycol, preferably glycerol.","Rhubarb with Sage plant, Mimosa tenuiflora, Alchemilla vulgaris,
Centella asiatica, Asculus hippocastanum, Acacia catachu and Salvia officinalis, ","oral and genital herpes, throat influenza virus infections, human papilloma virus, and other topical skin viral infections.",Y,14/07/2011,2016-02-06 00:00:00,A61K 36/18 (2006.01) A61K 36/77 (2006.01) A61K 36/28 (2006.01) A61K 36/82 (2006.01) A61K 36/48 (2006.01) A61P 31/12 (2006.01) A61K 36/537 (2006.01) A61P 31/16 (2006.01) A61K 36/73 (2006.01) A61P 31/22 (2006.01)
74,2013361916,W014/095323 ,2013-12-02 00:00:00,"Ready-to-drink tea-based beverage comprising cellulose microfibrils derived from plant parenchymal tissue
", Unilever PLC,Company,United Kingdom," Koppert, Remco Johannes ; Velikov, Krassimir Petkov",-,Tea,Extraction,Camel/ia sinensis.,-,Y,2016-03-31 00:00:00,2014-06-26 00:00:00,"A23F3/14 (2006.01)
"
75,2012298534,W013/026830 ,2012-08-20 00:00:00,"Method for producing dry extracts
", Bionorica SE,Company,Germany,"Popp, Michael
",-,Pharmaceutical composition, Ethanolic/aqueous extract,"Rumex acetosa L., Rumex acetosella L., Rumex, Verbena officinalis; Sambucus nigra;
Primula veris; and Gentiana lutea
obtusifolius L., Rumex patientia L., and Rumex crispus
L.","Inflammatory and/or infectious diseases of the
Nnose and throat area and/or the nasal sinuses,",Y,2016-06-30 00:00:00,2013-02-28 00:00:00,"A61K36/185 (2006.01)
"
76,2010294983,WO11/032502 ,2010-09-16 00:00:00,"Plant extract, compositions containing same, method of extraction and uses thereof
",Botanic Century (Beijing) Co. Ltd. ,Company,China,"Xie, Chen ; Zou, Yingshu
",-,Reduce the production of melanin,Alcoholic extraction ," Morus plant, mulberry"," Diseases caused by pigmentation as freckle, chloas
ma, striae gravidarum, sensile plaque and melanoma.",Y,2016-04-14 00:00:00,2011-03-24 00:00:00,"A61K36/605 (2006.01)
"
77,2010258355,WO10/143062 ,2010-06-11 00:00:00,"Compositions and methods for prevention and treatment of coronary heart diseases
","Generex Pharmaceuticals, Inc. ",Company,China,"Li, Ming ; Liu, Hongwey
",-,"Stimulating the growth of new collateral blood vessels in
ischemic hearts that supply oxygen and nutrients to ischemic/infarcted heart tissues ",Organic extraction,"Fructus Rosae Laevigatae, ",Coronary heart diseases,Y,2016-04-28 00:00:00,2010-12-16 00:00:00,"A61K31/7024 (2006.01)
"
78,2010258352,W010/143059 ,2010-06-11 00:00:00,"Compositions and methods for the prevention and treatment of hypertension
","Generex Pharmaceuticals, Inc. ",Company,China,"Li, Ming ; Peng, Peng
",-,"Resistance of small arteries is decreased by collateral vessel
formation in organs or tissues. ",Organic extraction, Geumjaponicum,Hypertension,Y,2016-04-28 00:00:00,2010-12-16 00:00:00,"A61K36/73 (2006.01)
"
79,2016102119,-,2016-12-15 00:00:00, A herbal medicament,"WU, Victor Jin Feng DR",Individual,Australia," WU, Victor Jin Feng",Australia, Herbal medicaments for human oral consumption,Extraction,"Panax notoginseng;
Astragalus Membranaceus;
Cassia Tora seed; and
Salvia miltiorrhiza. 
Raphanus Sativus seed;
Crataegus Cuneate fruit;
Santalum album;
Alisma Orientale;
Codonopsis pilosula;
Poria Cocos; and
Glycyrrhiza uralensis."," Restoring vital energy, improving
digestive function, assistance in emptying stool, reducing blood cholesterols and balanced body
weight. ",N,2017-02-02 00:00:00,2017-02-02 00:00:00,"A61K36/00 (2006.01)
"
80,2013348324,"W014/081563 
",2013-11-05 00:00:00,"Herbal supplements and methods of use thereof
"," KBS Research, LLC", Research organisation,United States of America," Brown, Kenneth ; Scott, Brandi M.",-,"Herbal supplements for constipation, weight gain.",Extraction,"Red quebracho, aesculus hippocastanum, shinopsis lorentzii, schinopsis balansae, schinopsis brasiliensis,  schinopsis haenkeana, schinopsis hetrophylla, schinopsis marginata, aesculus, satindus",Irritable bowel syndrome,Y,2017-03-23 00:00:00,2014-05-30 00:00:00,"A61K36/22 (2006.01)
"
81,2011352576,"W012/089101 
",2011-12-27 00:00:00,"Anti-aging traditional Chinese medicinal herbal composition and preparation method and use thereof
","Shanghai Jahwa United Co., Ltd.",Company,China,"Zhu, Le ; Xiong, Weiguo ; Chen, Mo ; Cheng, Kang ; Zhao, Ya ; Yan, Shuxian ; Ren, Jie ; Xiang, Honglei ; Fang, Cheng ; Lv, Luo ; Wei, Shaomin",-,"Effects of anti oxidation, promoting dermal fibroblast proliferation and anti UV- irradation","Aqueous extraction, filteration, drying, alcohol precipitation","saussurea involucrate, Cistanche deserticola, Astragalus membranaceus",Anti-aging,Y,2017-02-02 00:00:00,2012-07-05 00:00:00,"A61K8/97 (2017.01)
"
82,2011352504,W012/089115 ,2011-12-27 00:00:00,"Moisture-retaining chinese herbal medicine composition and preparation method and use thereof
"," Shanghai Jahwa United Co., Ltd.",Company,China," Cheng, Kang ; Chen, Mo ; Zhu, Le ; Xiong, Weiguo ; Zhao, Ya ; Fang, Cheng ; Lv, Luo ; Wei, Shaomin",-," Cosmetics such as cosmetic skin cream, eye
cream, facial mask, cleansing milk, lotion,","Heating, drying, Filtering, extracting","Asparagus
cochínchinensis, rehmannia root, Dendrobium nobile, Dioscorea opposita."," Resistant to the dryness
under a dried environment, prevent the moisture loss",Y,2016-11-17 00:00:00,2012-07-05 00:00:00,"A61K36/8984 (2006.01)
"
83,2017100701,-,2017-06-13 00:00:00, An Aerosol Composition and Application Thereof, Griffin and Row Naturals Pty Ltd,Company,Australia ," Stager, Michael",-,Cosmetic,Extraction," Centipeda Cunninghamii, Vitis Vinifera, Undaria Pinnafida, Lentinus Edodes ", Skin ageing and/or damaged skin,Y,2017-07-13 00:00:00,2017-07-13 00:00:00,"A61K8/97 (2017.01)
"
84,2013346709,W014/076312 ,2013-11-19 00:00:00,"Sulforaphane for treating or reducing insulin resistance of the liver
"," Rosengren, Anders, Axelsson, Annika",Individual,Sweden," Rosengren, Anders, Axelsson, Annika",Sweden," Improving hepatic insulin
sensitivity.",Extraction," Brussels sprouts, cabbage,
cauliflower, bok choy, kale, collards, broccoli sprouts, Chinese broccoli, broccoli raab,
kohlrabi, mustard, turnip, radish, arugula, or watercress. ",Insulin resistance of the liver. ,N,2017-02-02 00:00:00,2014-05-22 00:00:00,"A61K31/26 (2006.01)
"
85,2012363349,W013/096996 ,2012-12-28 00:00:00,"Plant based beverages, and methods for preparation thereof
"," Kambouris, Bruce",Individual,Australia ," Kambouris, Bruce",Australia , Beverage," Crushed or liquefied extract,  filtration", sugar cane or coconut ,-,N,2016-11-10 00:00:00,2013-07-04 00:00:00,"A23L2/74 (2006.01)
"
86,2012219165,W012/110932 ,2012-02-13 00:00:00, Antiviral composition, Piramal Enterprises Limited,Company,India," Thomas, Becky Mary ; Saklani, Arvind ; Kapoor, Natasha ; Enose, Arno Appavoo ; Sawant, Satish Namdeo ; Kaushik, Ritu ; Bhowmick, Rupa ; Malani, Ashish",India,Treatment of viral infections,"Extraction, drying, solvent
partitioning;", Ficus arnottiana ,Anti-HSV ,Y,2016-10-20 00:00:00,2012-08-23 00:00:00,"A61K36/60 (2006.01)
"
87,2011350620,W012/090205 ,2011-12-28 00:00:00,Plant extracts for the treatment and prevention of infections, Kamedis Ltd.,Company, Israel," Rozenblat, Sharon ; Jung, DaiHyun ; Moh, SangHyun ; Kim, SuJung ; Lee, JungHun",-," Preventing a skin infection, a contact dermatitis, a nummular
dermatitis, a radiation dermatitis, a burn.",Extraction,"Sanguisorbae officinalis, Ailanthus altissima, Ailanthus altissima
plant ","Chronic inflammatory
diseases. ",Y,2017-03-02 00:00:00,2012-07-05 00:00:00,"A61K36/739 (2006.01)
"
88,2010317657,WO11/057332 ,2010-11-10 00:00:00,"Anti-inflammatory compounds
",University of South Australia;Chuulangun Aboriginal Corporation , Research organisation,Australia," Semple, Susan Jean ; Simpson, Bradley Scott ; McKinnon, Ross Allan ; Claudie, David ; Gerber, Jacobus Petrus ; Wang, Jiping ; Moreton, George",-,Pharmaceutical and cosmetic compositions containing compounds,Extraction, Dodonaea polyandra,Inflammation,Y,2016-10-27 00:00:00,2011-05-19 00:00:00,"C07D307/38 (2006.01)
"
89,2010258356,WO10/143063 ,2010-06-11 00:00:00,"Compositions and methods for prevention and treatment of brain diseases and conditions
","Generex Pharmaceuticals, Inc",Company,"Hong Kong China
"," Li, Ming ; Zhou, Zhen",-,"Pharmaceutical composition  for substantially improving cerebral blood flow to
an ischemic brain by growing new collateral vessels and by inducing neuronal regeneration. ",Extraction," Geum
japonicum","Stroke, Alzheimer's disease, vascular dementia, chronic cerebral ischemia and
Parkinson's disease",Y,2017-01-19 00:00:00,2010-12-16 00:00:00,"A61K36/73 (2006.01)
"
