,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Company/ResaerchOrganization/Individual,Country of Owner,Inventors,Country of Inventor,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
88,370/DEL/2003,242803,25-03-2003,A PROCESS FOR PREPARATION OF HERBAL DYE SUITABLE FOR COTTON AND WOLLEN FABRIC,CSK HIMACHAL PRADESH KRISHI VISHWAVIDYALAYA.,Research Organization,India,"ASHA BANSAL, ANJALI SOOD, ANJALI SHARMA",India,Herbal dye,Extraction,"Peacanut (carya illinoensis), whole plant of Bidens (Bidens pilosa), leaves of Eupatorium (Eupatorium adenophorum) or Apricot (premus armeniaca) or Litchi (Litchi Chinensis)",-,Y, 13/09/2010, 16/01/2009,
89,2159/MUM/2006,242722,29-12-2006, A COMPOSITION AND METHOD FOR BODY WEIGHT LOSS,"Dr. Kishori Ganpat Apte, Dr. Vaishali Vasant Potnis",Individual,India,"Dr. Kishori Ganpat Apte, Dr. Vaishali Vasant Potnis",India,Composition,Extraction, Zizyphus mauritiana Lamk,Reducing body weight.,N, 20/09/2010, 26/01/2007,
91, 91/DEL/2004,239789,19-01-2004,PROCESS FOR PREPARATION OF PHARMACEUTICAL COMPOSITIONS COMPRISING OF EXTRACT OF PLANT EHUPHORBIA PROSTRATA,PANACEA BIOTEC LIMITED,Company,India,"RAJESH JAIN , DR. KOUR CHAND JINDAL, SUKHJEET SINGH, DR. ANIRUDDHA DATTA ",India,Pharmaceutical Composition,Extraction,Euphorbia prostrata," Anorectal or colonic disease such as hemorrhoids, fissures, cracks, fistulas, abscesses, and inflammatory bowel disease",Y, 31/03/2010 , 13/02/2009,
92,107/MUMNP/2007,238006,23-01-2007,A PHARMACEUTICAL COMPOSITION FOR THE TREATMENT OF PROSTATIC HYPERPLASIA AND PROSTATITIS,BRIGHT FUTURE PHARMACEUTICAL LABORATORIES LIMITED,Company,China,DONG HUI,China,Pharmaceutical Composition,Extraction,Epimedium , Prostatic hyperplasia and prostatitis,Y,18/01/2010, 23/11/2007,
93,1253/MUM/2003,236009,12-08-2003,A KIT CONTAINING A VACCINE AND AN IMMUNOLOGICAL ADJUVANT,SERUM INSTITUTE OF INDIA LTD.,Company,India,"BHUSHAN PATWARDHAN, MANISH GAUTAM",India,Vaccination,Extraction,"Ashwagandha [withania somnifera], shatavari [asparagus racemosus] and guduchi [tinospora cordifolia]",-,Y,15/09/2009,20/01/2006,
94,543/DEL/2003,233817,31-03-2003,AN IMPROVED PROCESS FOR THE ISOLATION OF ANDROGRAPHOLIDES FROM ANDROGRAPHIS PANICULATA,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH,Research Organization,India,"DHARAM CHAND JAIN, 
SHIWANI SINGH, 
BALI RAM TYAGI, 
SUDEEP TANDON",India,Production,"Extracting, evaporating, filtering.",Andrographis paniculata,-,Y,29/04/2009, 31/03/2003,
96,375/DEL/2003,232610,25-03-2003,A PROCESS FOR ISOLATION OF EXTRACT CONTAINING BIOACTIVE FRACTIONS FROM PLANT WOODFORDIA FRUTICOSA,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH,Research Organization,India,"PRATAP K. DAS INDIAN, 
NIRANJAN P. SAHU, 
SAKDEB BANERJEE, 
SAMIR BHATTACHARYA, 
SUCHANDRA SETT, 
SUCHANDRA GOSWAMI",India,Isolation,Extraction,Woodfordia fruticosa,Ulcer ,Y,24/03/2009, 27/04/2007,
97,534/DEL/2003,232584,31-03-2003,A PROCESS FOR THE ISOLATION OF OLEANOLIC ACID FROM THE ROOTS OF LANTANA CAMARA,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH,Research Organization,India,"SANTOSH KUMAR SRIVASTAVA, 
MERAJUDDIN KHAN, 
SUMAN PREET SINGH KHANUJA",India,Isolation,Extraction,Lantana camara,-,Y, 27/03/2009, 27/04/2007,
98, 2162/MUM/2006,223571,29-12-2006,A COMPOSITION FOR CONTROL OF FERTILITY IN FEMALES,MS. VAISHALI VASANT POTNIS,Individual,India,MS. VAISHALI VASANT POTNIS,India,-,Extraction,Zizyphus mauritiana Lamk,Anti fertility is used in females,N, 26/09/2008,26/01/2007,
99,01447/DELNP/2003,223451,11-09-2003, PROCESS FOR EXTRACTION OF ESSENTIAL OIL FROM DRACOCEPHALUM HETEROPHYLLUM BENTH,COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH,Research Organization,India,"VIJAY KUMAR KAUL, PARAMVIR SINGH AHUJA, HANS RAJ NEGI, UMAR MAHMOOD, BRIJ LAL, VIRENDRA SINGH",India,Production,Extraction,Dracocephalum heterophyllum benth.,-,Y, 16/09/2008, 16/03/2007,
100, 317/DEL/1997,212067,02-05-1997,A PHARMACEUTICAL COMPOSITION FOR THE CONTROL AND PREVENTION OF ANORECTAL AND COLONIC DISEASES,PANACEA BIOTEC LIMITED,Company,India,"JAIN RAJESH, 
SINGH AMARJIT PANACEA, 
SINGLA ANIL KUMAR",India,Pharmaceutical Composition,Extraction,Euphorbia prostrata, Anorectal diseases and colonic diseases ,Y,14/11/2007 ,38659,
101,194/DEL/2004,209857,02-12-2004,"AN ANTIPOISON, ANTIVIRAL & ANTI HIV HERBAL COMPOSITION AND PROCESS FOR PREPARATION THEREOF",YOGENDRA SINGH,Individual,India,YOGENDRA SINGH,India,Herbal composition,Extraction,"Nelumbo Nucifera, Santalum Album, Sassurea Lappa",-,N, 07/09/2007, 11/03/2005,
103,142/DEL/2004,209457,29-01-2004,A HERBAL COMPOSITION USEFUL FOR THE TREATMENT OF PILES.,YOGENDRA SINGH,Individual,India,YOGENDRA SINGH,India,Herbal composition,Extraction," Acacia Catechu, Sapindus Trifoliatus", Piles,N, 30/08/2007, 11/03/2005,
105,258/MUM/2007,284870,12-02-2007,Herbal compositions for prevention and treatment of marek's disease and immunity enhancement in poultry,"PATEL, JAMUNABEN BHANABHAI",Individual,India,PATEL JAMUNABEN BHANABHAI,India,"Natural ingredients commonly found in india and abroad, safe, easy to administer , therapeutic composition ","Tablet, Capsule ",Cuscuta reflexa,Marek's disease,N,2017-07-03 00:00:00,2017-07-07 00:00:00,
106,282/MUM/2008,284428,11-02-2008,Herbal compositions for treatment of milk let-down problem in cattle,R. P. P. BIOSCIENCES,Research organization ,India,PRASHANT NEMINATH PATIL,India,The invention is a synergistic formulation ,"Powered feed form, concentrate form,blender form and base mix form ","Asparagus, Withania, Leptadenia, Gossypium, Foeniculum, Lepidium",For improving milk let-down in cattle,Y,2017-06-21 00:00:00,2017-06-23 00:00:00,
107,889/MUMNP/2010,284222,29-04-2010,Herbal compositions and methods for treating hepatic disorders,"SABELL CORPORATION,JOSE GONZALO CABANILLAS CORAL","Company, Individual","Canada, Peru",Not mentioned ,-,"Safe, Effective","Oral and liquid form, tablet, slow discharge or deposit method ","Cordia, Annona, Curcuma",Hepatic disorders,-,2017-06-14 00:00:00,2017-06-16 00:00:00,
108,74/DEL/2007,282906,11-01-2007,a novel antimicrobial polyherbal composition,THE TALWAR RESEARCH FOUNDATION,Research organization ,India,"Gursaran Prashad talwar,Mahendra kumar Rai, Kavita bansal",India,Useful against a wide range of bacteria and fungi,"Gel, cream,
ointment, a patch or a pellet all suitable for topical application,Other forms such
as emulsion, tablet, pill, capsule, powder, pellet, as an aerosol, cream, lotion, solution,
transdermal patch may also be prepared and formulated","Aloe vera, Emblica officinalis, Sapindus mukerosii, Curcumin and Rose water",Against drug resistant microbes,Y,2017-04-27 00:00:00,2017-05-05 00:00:00,
109,3256/MUM/2010,282486,29-11-2010,biotransformation of biologically active compounds from medicinal plants,MYKO TECH PRIVATE LIMITED,Company,India,"SeshagiriRaghukumar,Srinivasan Narasimhan",India,"Chemically modified Herbal powder has better biological activity, compared to untransformed herbal powder ",Herbal powder,"Boerhavia diffusa, Boswellia serrata, Gymnema sylvestre, Momordica chorontia, Vanilla planifola, Cinnamomum aromaticum, Mentha piperita, Phyllanthus niruri, Curcuma longa","Process for biotransformation of compounds, extracts or herbal extracts of medicinal plants using the enzyme laccase - against different disease conditions",Y,2017-04-12 00:00:00,2017-04-21 00:00:00,
110,2656/MUM/2011,282473,20-09-2011,a process for the preparation of polyherbal formulation effective to treat kidney stones,KHOBRAGADE CHANDRAHASYA NAMDEO,Research organization ,India,"Dr.KHOBRAGADE CHANDRAHASYA NAMDEO,Dr. SHIRFULE AMOL LAXMAN",India,"Treatment time is from 20 to 28 days which is less than herbal formulation in market ( 45days), Safe, No toxicity ",Herbal formulation ,"Tribulus terrestris, Hygrophila spinosa, Ricinnus communis, Celosia argentea, Coleus blumei, Paederia foetida, Bryophyllum pinnatum, Amaranthus spinosus",Kidney stones,Y,2017-04-12 00:00:00,2017-04-21 00:00:00,
111,1415/DEL/2010,280929,18-10-2010,herbal oil composition in controlling blood sugar without risk of hypoglycemea,ANIL KUMAR GUPTA,Individual,India,ANIL KUMAR GUPTA,India,"The result of herbal oil become visible within two hours of
application",Herbal oil ,"Essential oil, terpentine, Jasmine, rose, sandal wood, eucalyptus, winter green oil",Controlling blood sugar,N,2017-03-02 00:00:00,2017-03-10 00:00:00,
112,1665/MUM/2009,280682,17-07-2009,A process for preparation of a lotion for treatment of corn,"Nigam Rupa Shashikant,Prasad Varunesh Rameshwar",Individual,India,"Nigam Rupa Shashikant,Prasad Varunesh Rameshwar",India,Non toxic,Herbal lotion ,"Caesalipinia bonducella, Caesalpinia echinata, Caesalipinia ferrea, Caesalipinia gilliesii, Caesalpinia crista, Rosa centifolia, Rosa gallica",Skin disease (cure of corns),N,2017-02-27 00:00:00,2017-03-03 00:00:00,
113,2770/MUM/2010,280259,05-10-2010,Disinfectant and method for its preparation and use,"SACHIN A MANDAVGANE,JAYANT DEOPUJARI,NEERAJ MISHRA",Individual,India,"SACHIN A MANDAVGANE,JAYANT DEOPUJARI,NEERAJ MISHRA",India,"Free from side effects , Herbs used are safe for human consumption ",Disinfectant ,"Vetiveria zizanioides, Santalum album, Cyperus rotundus, Elettaria cardamomum, Abroma augusta, Andropogon Maricatus, Aegle marmelos, Aporosa lindleyana, Randia dumetorum, Camphora officinarum, Coriandrum satirum, Mensa ferrea",Disinfection of drinking water,N,2017-02-15 00:00:00,2017-02-17 00:00:00,
114,273/MUM/2007,279313,12-02-2007,A herbal therapeutic product for the prevention and treatment of retention of placenta in cattle and buffaloes,HARSHADBHAI PATEL,Individual,India,HARSHADBHAI PATEL,India,"Safe, Effective","Liquid form, tablet, Intrauterine tablet, capsule, through bolus",Chlerodendrum phlomides,Treatment of retention of placenta in cattle and buffaloes,N,2017-01-18 00:00:00,2017-01-20 00:00:00,
115,1514/MUM/2006,279073,21-09-2006,Pellets of herbal extracts and process for preparing the same,UNIJULES LIFE SCIENCES LTD,Research organization ,India,UNIJULES LIFE SCIENCES LTD,India,Improved efficacy,"Capsule(hard and soft), tablet ",-,A process of delivering the herbal extracts in a form of a coat over pellets,N,2017-01-10 00:00:00,2017-01-13 00:00:00,
116,272/MUM/2007,277700,12-02-2007,"A herbal composition for the prevention and treatment of endoparasites or tapeworm infestation in animals,",HARSHADBHAI PATEL,Individual,India,HARSHADBHAI PATEL,India,"Easy to administer, quick, safe,nontoxic, not harmfull to humans and environment","Oral,liquid form",Caesalpinia crista,Treatment of tapeworm infestation in animals,N,2016-11-29 00:00:00,2016-12-02 00:00:00,
117,1588/CHE/2009,277579,06-07-2009,Process for preparing stop smoking formula enigma 2x liquid,KATRAGADDA BHASKARA RAO & VADLAMUDI P.BABU,Individual,"India, Michigan",KATRAGADDA BHASKARA RAO & VADLAMUDI P.BABU,"India, Michigan","Cost effective,affordable, safe, natural ingredients",Place 3 to 4 drops on tongue ,"Curcumine longa, Corcus sativus, Cardamom",Antismoking medication,N,2016-11-24 00:00:00,2016-12-02 00:00:00,
118,1652/MUM/2009,276328,16-07-2009,A novel herbal hydro-gel composition for skin wounds,PRAFULL R RAJANE,Individual,India,PRAFULL R RAJANE,India,Can be placed directly over burn area,Herbal hydrogel,"Sesame oil, Styrax benzoin",Skin wounds,N,2016-10-14 00:00:00,2016-10-21 00:00:00,
119,1410/MUM/2007,275683,23-07-2007,An apparatus for localized fumigation,VAIDYA -GUJARATHI NARENDRA NARAYANDAS,Research organization ,India,VAIDYA -GUJARATHI NARENDRA NARAYANDAS,India,Fumes reach to targeted region even in the lying position ,Apparatus ,-,Fumigation therapy,N,2016-09-19 00:00:00,2016-09-23 00:00:00,
120,281/MUM/2008,275047,11-02-2008,Herbal compositions for inducing fertility in cattle,R. P. P. BIOSCIENCES,Individual,India,PRASHANT NEMINATH PATIL,India,It is an alternative remedy to improve natural fertility of female cattle,"Powered feed form, concentrate form,blender form and base mix form ","Nigella, Aloe, Glycyrrhiza, Pistacia, Gossypium, Vitex, Asparagus, Guizotia",Infertility problems in cattle,Y,2016-08-19 00:00:00,2016-08-26 00:00:00,
121,2329/MUM/2009,275032,07-11-2009,Herbal milk replacer compositions for calf,Dr. PRASHANT N PATIL,Individual,India,Dr. PRASHANT N PATIL,India,Synergistic ction of herbs and has dual purpose ,"Powered feed form, concentrate form,blender form and base mix form ","Emblica officinalis, Tinospora cordifolia, Embelia basaal, Cyprus rotundus, Asparagus racemosus, Lepidium sativam",Herbal milk replacer compositions for feeding animals,N,2016-08-19 00:00:00,2016-08-26 00:00:00,
122,2465/MUM/2009,275030,23-11-2009,Herbal calf starter compositions,Dr. PRASHANT N PATIL,Individual,India,Dr. PRASHANT N PATIL,India,"Shelf-stable, Cheaper","Powered feed form, concentrate form,blender form and base mix form ","Emblica officinalis, Tinospora cordifolia, Embelia basaal, Cyprus rotundus, Asparagus racemosus, Lepidium sativam",Herbal calf starter compositions for proper growth and development of the rumen,N,2016-08-19 00:00:00,2016-08-26 00:00:00,
123,280/MUM/2008,275005,11-02-2008,Herbal cattle feed supplement compositions for enhancing productivity and quality of milk by improved bioavailability,R. P. P. BIOSCIENCES,Individual,India,PRASHANT NEMINATH PATIL,India,"Safe, Effective",-,"Asparagus, Withania, Leptadenia, Glycirrhiza",For enhancing the productivity and quality of milk,Y,2016-08-18 00:00:00,2016-08-19 00:00:00,
124,2114/CHE/2006,272792,15-11-2006,Herbal cola as ready to serve soft drink,RAMANAN. V.D.,Individual,India,RAMANAN. V.D.,India,"No side effects, No irritation, No abdominal pain",Herbal Cola Drink,"Clove, Cenamon bark, Pepper, Ginger, Chittelam, Pathimugom, thedri, Naruneedndi",Herbal cola drink,N,2016-04-27 00:00:00,2016-04-29 00:00:00,
125,2583/MUM/2008,271953,11-12-2008,Herbal composition comprising bartogenic acid containing extract of fruits of barringtonia racemosa,"PATIL CHANDRAGOUDA RAOSAHEB,JADHAV RAMCHANDRA BABURAO,PATIL KALPESH RAMDAS,TOSHNIWAL SANJAY SHIVNARAYAN",Individual,India,"PATIL CHANDRAGOUDA RAOSAHEB,JADHAV RAMCHANDRA BABURAO,PATIL KALPESH RAMDAS,TOSHNIWAL SANJAY SHIVNARAYAN",India,High efficacy ,"Tablet, Capsule,pills,powders,troches,shampoos, lotions,patches, suspension, emulsion ",Barringtonia racemosa,"Treatment of arthritis, inflammation, pain",N,2016-03-11 00:00:00,2016-03-18 00:00:00,
126,426/KOL/2007,270519,20-03-2007,A poly herbal composition for wound healing and a process for producing the same,ASSAM AGRICULTURAL UNIVERSITY,Research organization ,India,"Dr.CHANDANA CHOUDHURY BARUA, RAJEEV KUMAR SHARMA, ISWAR CHANDRA BARUA, APURBA CHAKRABORTY, ANIMESH DEKA",India,Scar formation is seen on 21st day after healing ,Polyherbal Composition,"Alternanthera brasiliana, Achyranthes aspera",Wound healing,Y,2015-12-29 00:00:00,2016-01-01 00:00:00,
127,1050/CHE/2008,267712,29-04-2008,Herbal composition effective against rhabdovirus and process of preparation thereof,C.M SIVARAMAN,Individual,India,C.M SIVARAMAN,India,Constituents have synergistic effect ,Oral administration,Agave americana,Against rabdovirus,N,2015-07-29 00:00:00,2015-07-31 00:00:00,
128,2306/MUM/2010,267469,17-08-2010,Sodium free food preservative,SUNILDATTA KRISHNAJI JOG,Individual,India,SUNILDATTA KRISHNAJI JOG,India,"No undue taste,odour or toxicity ",Preservative,"Cissus quadrangularis, Mucuna pruriens, Withania somnifera",Bone fractures,N,2015-07-20 00:00:00,2015-07-24 00:00:00,
129,1228/DEL/2008,266636,19-05-2008,"formulations, medicated threads and preparing process thereof","S.M.F.REHMAN ,I.M.FATIMA,NISHAT FATIMA ,SYED HABEEB AHMED , SYED MOHAMMAD ARQAM,SYED MOHAMMAD SALMAN, SYED MUAZ AHMAD",Individual,India,"S.M.F.REHMAN ,I.M.FATIMA,NISHAT FATIMA ,SYED HABEEB AHMED , SYED MOHAMMAD ARQAM,SYED MOHAMMAD SALMAN, SYED MUAZ AHMAD",India,Advantageous in reducing reccurence of diease as compare to surgery or any other technique ,"Solution,spray,ointment,lotion,syrup,tablets,capsules,surgical sutures","Calotropis gigantea, Calotropis procera, Ficus religiosa, Euphorbia neriifolia, Carica papaya","For benign ano-rectal disease, ulcer, fistula, abscess, sinus, wart, condyloma",N,2015-05-22 00:00:00,2015-05-29 00:00:00,
130,988/DEL/2005,252659,20-04-2005,herbal formulation useful for controlling body weight ,"GODFREY PHILLIPS INDIA LTD.,COUNCIL OF SCIENTIFIC & INDUSTRIAL RESEARCH ","Company, Reseach Organization ",India,"Palpu pushpangadan, Chandana venkateswara rao, Raghavan Govindarajan, Ajay kumar singh rawat, Sharad kumar srivastava, K.Narayana Nair, Sayyada khatoon, Subha rastogi , Sanjeev kumar ojha, Jayant Menghani, Ramamurthy ravi, Namita sethi, Robin rahul sethi, Eknath govindram Udyavar, Ajit suryanaryan ",India,"Reduced dose,minimised side effects ",Herbal formulation ,"Hemedesmus indicus, Acorus calamus, Murraya Koenigii, Alpinia galanga, Papaver somniferum, Amorphophallus campanulatus, Hygrophila auriculata, Hygrophila schulli, Cuminum cyminum, Apium graveolens, Colocasia esculenta",Controlling body weight,N,2012-05-25 00:00:00,2012-06-01 00:00:00,
131,855/MUM/2006,252567,01-06-2006,A process for preparation of a polyherbal composition and the product thereof,CHARAK PHARMA PRIVATE LIMITED,Company ,India,"Shroff, vikram kishor",India,Synergy in composition is proven. More effective ,"Liquid orals, tablet,capsules","Saraca asoca, Asperagus racemosus, Dashmool, Symplocos racemosa, Emblica officinalis, Terminalia belerica, Nelubium speciosum, Cedrus deodara, Mesuaferrea, Nardostachys jatamansi, Bombax malabaricum, Zingiber officinale, Terminalia chebula, Cuminum cyminum",Treatment of irregular menstural cycle,Y,2012-05-23 00:00:00,2012-05-25 00:00:00,
132,3127/DEL/2005,252316,23-11-2005,a herbal health formulation,Three-N-Products Pvt. Ltd.,Company ,India,Raminder singh narang,India,Synergistic and effective formulation ,"Used as powder, or oil or by decoction or infusion","Vijaysaar, Liquorice root, ginger, Basil, long pepper, Cinnamon, cardamom, cloves, Fennel Seed, stevia","For treating diabetes, regulating fat metabolism, as antiviral agent",Y,2012-05-08 00:00:00,2012-05-11 00:00:00,
133,1863/DEL/2006,252163,21-08-2006,a novel herbal composition and a process for preparation thereof effective against abdominal worm .,CENTRAL COUNCIL FOR RESEARCH IN UNANI MEDICINE,Company ,India,Mohammad khalid siddiqui,India,"Easy to administer,cheap",Hard gelatin capsules,"Caesalpinia bonduc, Ipomoea headeralea, Citrullus colocynthis, Ipomoea turpethum, Malletus philippinesis, Artemisia absinthium, Butea monosperma",Against abdominal worm,Y,2012-04-30 00:00:00,2012-05-04 00:00:00,
134,386/CHE/2004,252070,27-04-2004,a composition of herbal extracts for promoting growth and development,TABLETS (INDIA) LIMITED,Company ,India,Not mentioned ,-,"Does not cause gastric irritation, effective in low doses","Liquid,powder,paste form,single unit dosage form ","Bacopa Monnieri, Embilica Officinalis, Withania somnifera, Piper longum, Piper nigrum, Zingiber Officinalis, Foeniculum vulgare, Alpinia galanga",Promoting growth and development,-,2012-04-24 00:00:00,2012-04-27 00:00:00,
135,851/MUMNP/2008,251794,28-04-2008,Herbal composition for inflammatory disorders,PIRAMAL LIFE SCIENCES LIMITED ,Company ,India,"Chauhan,vijay,suthar,ashish,sapre,dhananjay,Bal-tembe, swati,Gangopadhay, Ashok Kumar, Kulkarni-almeida,asha, Parikh, Spana, Hasit",India,Less deleterious side effects than synthetic drugs,Oral preparation ,Sphaeranthus indicus,Inflammatory disorders,Y,2012-04-03 00:00:00,2012-04-06 00:00:00,
136,1862/DEL/2006,251453,21-08-2006,a novel herbal composition and a process for preparation thereof effective against constipation,CENTRAL COUNCIL FOR RESEARCH IN UNANI MEDICINE,Research organization ,India,Not mentioned ,-," Cheaper, more effective and free from side effects","The dried mass thus obtained is
mixed with diluents and lubricants followed by compression to obtain
tablet in which diluents and lubricants are kaolin and talcum powder","Zingiber officinale, Cassia angustifolia, Rosa damasena, Ipomoea purge",Against constipation,-,2012-03-16 00:00:00,2012-03-23 00:00:00,
137,1750/MUM/2006,251064,20-10-2006,A hair dye composition,"NISHAT SUBHASH CHANDRA,CHHABRA SAVITA KAILASH",Individual,India,Desai Milind Bhupendra,India,"Ready to use, safe","Liquid,cream,gel,emulsion ","Aamla, Methi, Jasund, Bringraj, Tulsi, Aloevera, jatamansi, Neem, Brahmi, Baheda, Heena, Khus",Hair dye ,Y,2012-02-21 00:00:00,2012-02-24 00:00:00,
138,418/DEL/2002,217878,28-03-2002,a herbal ophthalmic formulation of ocimum sanctum for delaying the onset and progression of cataract,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES,DEPARTMENT OF SCIENCE AND TECHNOLOGY",Research organization ,India,Not mentioned ,-,Synergistic Composition,Herbal ophtalmic formulation- one drop two times a day,Curcuma longa ,Cataract,-,2012-02-03 00:00:00,2012-02-10 00:00:00,
139,216/DEL/2006,250700,25-01-2006,"a herbal composition effective against arthritis and to process for the preparation thereof"".","DIRECTOR, CENTRAL COUNCIL FOR RESEARCH IN UNANI MEDICINE",Research organization ,India,Mohammad khalid siddiqui,India,Effective with no toxicity on prolonged treatment ,"Detoxification of Azaraqi seeds followed by powdering,
- pulverization of dry zanjabeel, and
- mixing of the above in a mass mixer added with preservative such
as sodium benzoate in concentration of 0.1-0.15% and moistened
with purified water followed by drying at 55-75°C for 3-4 hrs","Stryhnos nux-vomica, Zingiber officinal",Against arthritis,Y,2012-01-20 00:00:00,2012-01-27 00:00:00,
140,214/DEL/2006,250196,25-01-2006,a novel herbal composition (sugar coated) effective against rheumatoid arthritis.,"DIRECTOR, CENTRAL COUNCIL FOR RESEARCH IN UNANI MEDICINE",Research organization ,India,Mohammad khalid siddiqui,India,"More effective,effect lasts for more duration, easy to administer and cheaper, easier to take as compared to other drugs available in the market, well tolerated and free from toxic/side effects",Sugar coated dried granules,"Zingibar officinale, Piper nigrum, Clochicum, Withania somnifera",Rheumatoid arthritis,Y,2011-12-15 00:00:00,2011-12-23 00:00:00,
141,2152/DEL/2004,250118,29-10-2004,a process of seperting a compound containing allylisothiocynate from mustard seed,INDIAN COUNCIL OF AGRICULTURAL RESEARCH,Research organization ,India,"Dr.Sanjeev kumar tyagi, Dr.Syed Mohmad Ilyas, dr.Onkar domaji Wanjari",India,More effective,Compound isolated from mustard oil,Mustard,"Antimicrobial, insecticidal usage",Y,2011-12-08 00:00:00,2011-12-09 00:00:00,
142,269/DEL/2006,250038,01-02-2006,A process for the preparation of herbal extract from the fern cheilanthes farinose effective aganist liver diseases,"DEPARTMENT OF BIOTECHNOLOGY,RAJIV GANDHI CENTRE OF BIOTECHNOLOGY",Research organization ,India,V.V ASHA,India ,Simple and cost effective,Dry powder,Cheilanthes farinose,Hepato protection,Y,2011-11-30 00:00:00,2011-12-02 00:00:00,
143,219/DEL/2006,250021,25-01-2006,a novel herbal composition effective as anit pyretic and to a process for the preparation thereof,"DIRECTOR, CENTRAL COUNCIL FOR RESEARCH IN UNANI MEDICINE",Research organization ,India,Mohammad khalid siddiqui,India,"Effective treatment for
Fever and to a method of preparation thereof which has no toxicity or
untoward effect after prolonged administration in children ",Herbal formulation ,"Cuminum cyminum, Piper longum, Caesal pinia bonducella, Acacia arabica , Calx gypsum",Antipyretic,Y,2011-11-29 00:00:00,2011-12-02 00:00:00,
144,2770/MUMNP/2008,249456,29-12-2008,Reduced calorie beverage with non-nutritive sweeteners and tea extracts for reduction of off-taste,THE CONCENTRATE MANUFACTURING COMPANY OF IRELAND ,Company,India,"Johnson, winsom, roy ,glenn,LEE, thomas",U.S.A,Better Taste ,Tea extracts,-,-,Y,2011-10-20 00:00:00,2011-10-28 00:00:00,
145,2128/MUM/2006,249299,26-12-2006,A synergistic herbal formulation for the treatment of renal condition,PATANKAR SURESH,Individual,India,PATANKAR SURESH,India,Synergistic herbal preparation,"Capsule,Tablet","Tribulus terrestris, coriander, Zea mays, Arctostaphylos uva-ursi, Galium aparine, Viburnum opulus, Eupatorium purpureum, Piper methysticum, Ammi visnag, Hydrangea ahorescens, Collinsonia canadensis",Kidney stones,N,2011-10-17 00:00:00,2011-10-21 00:00:00,
146,218/DEL/2006,249186,25-01-2006,a novel herbal composition effective against coryza and a process for preparing thereof ,"DIRECTOR, CENTRAL COUNCIL FOR RESEARCH IN UNANI MEDICINE",Research organization ,India,Mohammad khalid siddiqui,India,Effective,Herbal composition,"Ocimum sanctum, Cinnamomum zeylanicum, Ptychotic ajowan, Zingiber officinale, Tynospora cordifolia",Against coryza ,Y,2011-10-10 00:00:00,2011-10-14 00:00:00,
147,215/DEL/2006,249180,25-01-2006,"a herbal composition effective against nazfuddam and a process for the preparation thereof""","DIRECTOR, CENTRAL COUNCIL FOR RESEARCH IN UNANI MEDICINE",Research organization ,India,Mohammad khalid siddiqui,India," Cheaper, more effective
and free from side effects","Dehydration of shibb-e-yamani;
, grinding of Geru and Gond Babool;
, the three ingredients of step (a) and (b) were thoroughly
mixed to form a mass by sprinkling purified water
followed by drying of the mixture in an oven at 85-105°C
for 3-4 hours","Alum, Bole rubra, Acacia arabica",Against Nazfuddam,Y,2011-10-10 00:00:00,2011-10-14 00:00:00,
148,478/MUM/2006,249133,29-03-2006,Herbal composition comprising extract of root of murraya koenigii for treatment of infections caused by dermatophytes,Nicholas PIRAMAL LIFE SCIENCES LIMITED,Company,India,"Kadam,kavita,Muthusamy V.S, Sapre, Dhananjay",India,Effective,"Lotions,gels,cream,dusting powder,wax based sticks",Murraya koenigii,Treating dermatopytic infection,Y,2011-10-03 00:00:00,2011-10-07 00:00:00,
149,1911/CHE/2007,248873,27-08-2007,A synergistic herbal composition having anti-stress and memory enhancing activity,CENTURY BIOLOGICALS PRIVATE LIMITED,Company,India,"Ella krishna Murthy, Ella suchitra krishna,Rudrapattana puroshotam ananda alwar,Kaippangala Vinaya gopal",India,No Information available ,No Information available ,"Withania somnifera, Bacopa monnieri","Anti stress, enhances memory",Y,2011-09-05 00:00:00,2011-09-09 00:00:00,
150,2507/DEL/2004,248784,16-12-2004,Development of harbal nutritious chocaeate and its processing,COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH,Research organization ,India,"Palpu pushpangadan, Chandana venkateswara rao,  Ajay kumar singh rawat, Sanjeev kumar ojha, Gaddam Dayanand Reddy",India,"Herbal, nutritious",Chocolate with herbal ingredients ,"Tinospora cordifolia, Glycyrrhyza glabra, Adhatoda vasica, Madhuca indica, Cassia occidentalis","Treatment of anti fatigue, anti stress agent, provides vitality, energy",Y,2011-08-24 00:00:00,2011-08-26 00:00:00,
