,PCT filing number,Patent number,PCT filing date ,Title of invention (English),Owners,Individual/ResearchOrganization/Company,Country of Owner,Inventors,Country of Inventor,Invention aspect ,Type of mechanism or work involved,Plant used,Treatment,Commercial status,Grant date,PCT publication date, International Patent Classification 
64,12156977.6, EP2460815,17.04.2006,PLANT-DERIVED ELASTIN BINDING PROTEIN LIGANDS AND THEIR USES ," Human Matrix Sciences, LLC ",Company,United States of America," Mitts, Thomas F. Visalia; Jimenez, Felipe;Hinek, Aleksander ",United States of America;Canada," Invention can be used for removal of facial lines and wrinkles, as well as stretch marks of aged skin; treat cutaneous hypertrophic scars",Medicinal composition,-,Wrinkles;cutaneous hypertrophic scars,Y,03.06.2015,06.06.2012,"C07K 7/06;C07K 7/08
"
65,PCT/IB2009/005584,WO 2009/138860 ,12.05.2009, PLANT EXTRACT AND ITS THERAPEUTIC USE,Viridis Pharmaceutical Limited ,Company,British Virgin Islands," Kreuter, Matthias-Heinrich ",Switzerland,"It can be used for treatment of cancer,psoriasis, scleroderma and pemphigus, infectious bronchitis, cancers including sarcomas and also can be used as veterinary medicine",Aqueous extract;Alcohol extract,Matricaria recutite;Chamomile,"Cancer,psoriasis, scleroderma and pemphigus, infectious bronchitis",Y,18.03.2015,19.11.2009,"A61K 36/28;A61P 31/12;A61P 35/00
"
66,6024463.9, EP1925310,24.11.2006, PLANT EXTRACTS FROM PLECTRANTHUS AND CENTELLA FOR TREATING SKIN DISORDERS AND ACCELARATING WOUND HEALING IN DIABETIC PATIENTS,DEVELOPMENT CENTER FOR BIOTECHNOLOGY ,Company,Taiwan," Wu, Rey-Yuh ; Chung, Yuh-Shan;Wu, Yu-Yuan;Siu, Ma-Li;Huang, Hung-Jen;Hsiao, Chin-Wen ",Taiwan,"It can be used as  for treating skin disorders,can be used as wound dressing",Extract the juice with a juice extractor;freeze drying;use suitable solvent to extract, Plectranthus amboinicus Benth;Centella ,Skin disorder,Y,25.03.2015,28.05.2008,A61K 36/23;   A61K 36/53;    A61P 17/02
67,"PCT/EP2011/058332
",WO 2011/147767 ,25.03.2011, COMBINED PLANT EXTRACTS FOR USE IN THE TREATMENT OF MICROBIAL INFECTIONS ,Indena S.p.A. ,Company,Italy," Giori, Andrea;Mombelli, Giacomo ; Togni, Stefano ",Italy,"It can be used as antimicrobial agents, antiinflammatory agents, wound-healing agents. ",Pharmaceutical composition,Tamarind,Microbial infections,Y,16.12.2015,01.12.2011,"A61Q 19/00;   A61K 36/48;   A61Q 17/00;    A61P 29/00;     A61P 31/00
"
68,"PCT/US2010/046791
",WO 2011/028601 ,26.08.2010,TOPICAL SKIN CARE FORMULATIONS COMPRISING PLANT EXTRACTS,"Mary Kay, Inc. ",Company,United States of America,"Florence, Tiffany Addison;Gan,David Addison ;Hines, Michelle Addison ",United States of America,The formulation can be used to treat various skin conditions and used as topical application ,Alcohol Extraction,Loropetalum chinensis; Trema angustifolia and Glochidion lanceolaris,Skin disorder,Y,07.10.2015,10.03.2011,"A61Q 19/08;   A61Q 19/02;   A61K 36/185;  A61K 8/97
"
69,PCT/US2012/037041,WO 2012/154799,09.05.2012,HERBAL COMPOSITION FOR TREATING CANCER,"Sheng, Yu-Hwa Peter",Individual,USA,"Sheng, Yu-Hwa Peter",USA, Useful to treat lung cancer,"Extraction followed by coversion in dietary supplement  ingestible form, such as powder, capsule, or tablet.
"," Catharanthus roseus, Sedum sarmentosum, Scutellaria barbata, Oldenlandia diffusa, Rhizoma paridis, Scutellaria baicalensis, Ganoderma lucidum, Astragalus membranaceus, Codonopsis pilosula, and Bulb us fritillariae.",Lung cancer,N,31.08.2016,15.11.2012,A61K 36/24 (2006.01) A61K 36/539 (2006.01) A61K 36/074 (2006.01) A61K 36/481 (2006.01) A61K 36/344 (2006.01) A61K 36/748 (2006.01) A61K 36/11 (2006.01) A61K 36/17 (2006.01) A61K 36/41 (2006.01) A61P 35/00 (200
70,PCT/KR2011/010294,WO 2012/124888,29.12.2011,COMPOSITION COMPRISING THE EXTRACT OF HERBAL COMBINATION FOR PREVENTING OR TREATING DIABETIC PERIPHERAL NEUROPATHY,"Dong-A ST Co., Ltd.",Company,Korea,"KIM, Soon-Hoe Suwon-siSON, Mi-Won Yongin-si, CHOI, Sang-Zin Yongin-si,   Hye-Ju Hwaseong-si, RYU, Ja-Young  ",Korea,"Oral dosage forms such as powders, granules, tablets, capsules, suspensions, emulsions, syrups, aerosol, etc., topical agents, suppositories, or sterile injection solutions. Invention may be formulated in combination with a diluent or excipient, such as a filler, a thickening agent, a binder, a wetting agent, a disintegrant, a surfactant, etc","Cold precipitation in 50% ethanol at room temperature for 48 hours, followed by concentration in a vacuum",Dioscorea Rhizoma and Dioscorea nipponica,DIABETIC PERIPHERAL NEUROPATHY,Y,20.04.2016,20.09.2012,A61K 36/8945 (2006.01) A61P 25/28 (2006.01) A61P 25/16 (2006.01)
71,PCT/IL2011/000221,WO 2011/111039,08.03.2011,HERBAL COMPOSITION FOR PREVENTING AND\OR TREATING ANXIETY AND RELATED CONDITIONS,Opmop Ltd.,Company,Isareal," DORON, Ravid",Isreal,"Combating, alleviating, reducing, relieving or improving a subject’s anxiety condition, stress or any symptom thereof. The term encompasses any reduction in the subject’s anxiety condition or stress as evidenced,",Acid and Aqeuous Extraction,"hawthorn fruit, light wheat grain, and Lilly Bulb", ANXIETY AND RELATED CONDITIONS,Y,16.11.2016,15.09.2011,A61K 36/899 (2006.01) A61K 36/734 (2006.01) A61K 36/8967 (2006.01) A61P 25/22 (2006.01)
72,PCT/IB2009/053370,WO 2010/023572,04.08.2009,HERBAL EXTRACT AS SENSITIVITY ENHANCER TOWARD INSULIN AND ANTIDIABETES,"PT. Dexa Medica Palembang,",Company,Indonesia,"TJANDRAWINATA, Raymond, R. Jakarta Selatan , SINAMBELA, James, M. Bekasi , WULAN, Deasy Diah Dwi Retno , MAYASARI, Olivia Jakarta ,PUSPASARI, Melissa ",Indoonesia,"Optimal natural drug to reduce insulin resistance and also reduce blood sugar level in syndrome X, insulin resistance, pre-diabetes, or diabetes patients, mainly type 2 diabetes.","water extraction process and/or other polar solvents,",Cinnamomum burmannii and Lagerstroemia speciosa extracts., Diabetes metabolic syndrome X,Y,04.05.2016,04.03.2010,A61P 3/10 (2006.01) A61K 36/54 (2006.01) A61K 36/185 (2006.01) A61P 5/50 (2006.01)
73,PCT/IN2008/000462,WO 2009/010992,18.07.2008,A SYNERGISTIC HERBAL COMPOSITION FOR TREATMENT OF RHEUMATIC AND MUSCULO-SKELETAL DISORDERS (RMSDS),Council of Scientific & Industrial Research,Research Organisation,India,"PATWARDHAN, Bhushan , CHOPRA, Arvind , NARSIMULU, Gumdal, HANDA, Rohini Ansari Nargar, BICHILE, Lata, S., QAZI, Ghulam, Nabi Jammu-Tawi , MUJUMDAR, Arvind, Manohar ; SUMANTRAN, Venil, N. ",India,"Formulation is in the form selected from the group comprising powder, capsule, tablet, liquid, paste",optionally packing the coarse powder in an extractor followed by water-extraction method for obtaining an plant extract;,"Withania somnifera, Tribulus terrestris, Phyllanthus emblica and Boswellia serrata",TREATMENT OF RHEUMATIC AND MUSCULO-SKELETAL DISORDERS (RMSDS),N,31.08.2016,22.01.2009,A61K 36/9068 (2006.01) A61K 36/59 (2006.01) A61K 36/81 (2006.01) A61K 36/185 (2006.01) A61K 36/324 (2006.01) A61P 19/02 (2006.01)
74,PCT/EP2011/051989,WO 2012/107095,10.02.2011,PLANT HSP70 FOR USE IN THE TREATMENT OF FOOD ALLERGY,Alfa Biogene International B.V.,Company,Germany,"LAX, Julia; SEIFARTH, Federico G.",Germany," Prophylactic or therapeutic treatment of a child that has a milk allergy. enteral administration, inhalation administration, parenteral administration, mucosal administration, rectal administration
(administration through the rectum) and topical administration (for example application to the skin).","The Hsp70 or hydrolysate thereof, dissolved or suspended in a liquid phase, may be provided in a container further comprising a propellant, in particular a propellant gas under pressure, which can be released as a fine spray.",Plant Hsp70 or hydrolysate, FOOD ALLERGY,Y,30.03.2016,16.08.2012,A61P 37/00 (2006.01) C07K 14/415 (2006.01) A61K 38/17 (2006.01) A61K 38/16 (2006.01)
75,PCT/JP2009/069977,WO 2010/061899,26.11.2009,"TRANSFORMED SOYBEAN PLANT WHICH STORES VACCINE, AND USE THEREOF","Hokko Chemical Industry Co., Ltd.",Company,Japan,"TERAKAWA, Teruhiko Atsugi-shi • HASEGAWA, Hisakazu Atsugi-shi  • ISHIMOTO, Masao Sapporo-shi  • UTSUMI, Shigeru deceased• SHOJI, Mikio Hirosaki-shi  • KAWARABAYASHI, Takeshi Hirosaki-shi",Japan,Vaccines Form,A gene encoding an Alzheimer’s disease vaccine to a variable region(s) of a gene encoding a wild-type seed storage protein,Soyabean,Alzheimer’s disease vaccine,Y,06.04.2016,03.06.2010,C12N 15/00 (2006.01) A01H 5/00 (2006.01) A61K 39/00 (2006.01) A61P 25/28 (2006.01) C12N 5/10 (2006.01) C12N 15/09 (2006.01)
76,PCT/CA2009/001600,WO 2010/060190,03.11.2009,PLANT EXTRACT COMPOSITIONS FOR AFFECTING SLEEP,Viva Pharmaceutical Inc. Richmond,Company,Canada,"Blum, Peter  • Schürch, Cornelia • Schmid, Daniel • Zülli, Fred, Dr. ",China,Intraperitoneal injection and powder based,Grinding and aqueous extraction,Platycladus orientalis;  Polygala spp. ; Zizyphus jujube,Insomnia or  sleeplessness,Y,26.10.2016,03.06.2010,A61K 36/14 (2006.01) A61K 36/69 (2006.01) A61K 36/725 (2006.01) A61P 25/00 (2006.01) A61P 25/20 (2006.01) A61K 9/48 (2006.01) A61K 9/20 (2006.01)
77,"PCT/EP2013/071750
",WO 2014/060529,17.10.2013,FORMULATIONS COMPRISING HERBAL EXTRACTS,MONTERO GIDA SANAYI VE TICARET ,Company, Istanbul ,"CIFTER, Ümit,  ARABACIOGLU, Nazife, TOKER, Özlem", Istanbul ,  Maintains the physical stability and has improved,Extraction," Echinacea purpurea, Propolis, Glycyrrhiza glabra, Zingiber officinale and Ginseng root, Hedera helix,
Pelargonium sidoides", Respiratory tract diseases,Y,26.04.2017,24.04.2014,"A61K 36/185 (2006.01) A61K 36/61 (2006.01)
A61K 36/25 (2006.01) A61K 47/26 (2006.01)
A61P 11/00 (2006.01) A61K 36/28 (2006.01)
A61K 9/00 (2006.01) A61K 35/644 (2015.01)"
78,"PCT/IN2012/000155
",WO 2012/127498,05.03.2012,"A NOVEL HERBAL COMPOSITION FOR THE TREATMENT OF KIDNEY STONE AND OTHER
URINARY TRACT DISORDERS"," Patankar, Suresh Balkrishna",Individual,India," Patankar, Suresh Balkrishna",India," Novel synergistic herbal
composition"," Bark, stem, yarn, root, flowers, leaves, seeds extracts","Crataeva nurvala,  Musu sapientum, Achyranthus aspera,  Hordeum vulgare"," Kidney stones, post lithotripsy fragment stones, pre-operative treatment and expulsion of renal calculi,
recurrence and reformation of renal calculi",N,19.04.2017,27.09.2012,"A61P 3/02 (2006.01) A61K 36/185 (2006.01)
A61K 36/88 (2006.01) A61K 36/8998 (2006.01)
A61K 36/21 (2006.01"
79,"PCT/IN2012/000116
",WO 2012/123962 ,17.02.2012,HERBAL COMPOSITION FOR USE IN THE TREATMENT OF WOUNDS," Patankar, Suresh Balkrishna",Individual,India," Patankar, Suresh Balkrishna",India, Rapid healing anti-inflammatory activity,"Aqueous extraction, "," Curcuma longa, Glycyrrhiza glabara,
Hamiltonia suaveolens, Typha angustifolia and Azadirachta indica along with optionally pig fat in Sesamum indicum", Wound healing,N,03.05.2017,20.09.2012,"A61P 17/02 (2006.01) A61K 36/185 (2006.01)
A61K 36/484 (2006.01) A61K 36/58 (2006.01)
A61K 36/9066 (2006.01) A61K 36/38 (2006.01)"
80,"PCT/IN2012/000059
",WO 2012/101657,27.01.2012,PROCESS FOR PREPARATION OF AN EXTRACT OF MOMORDICA CHARANTIA,Piramal Enterprises Limited,Company,India,"SHARMA, Somesh, CHAUHAN, Vijay Singh, SUTHAR, Ashish",India," Controlling blood/urine sugar level the nutraceutical product(s) provide additional benefits in diabetes
related human health problems like reduction in fatigue, weakness, drowsiness, numbing effect, frequent urination,
unusual thirst and hunger, weight loss, swellings on legs/ankles, burning sensation on feet, palms, relief in skin itching","Juice extraction, crushing, filtering, drying,  neutralizing",Momordica charantia, Non insulin-dependent diabetes mellitus,Y,04.01.2017,02.08.2012,"A61K 36/42 (2006.01) A61K 9/00 (2006.01)
A61P 3/10 (2006.01) A61K 131/00 (2006.01)
A61K 9/16 (2006.01) A61K 9/20 (2006.01)"
81,"PCT/KR2010/003530
",WO 2010/140832, 01.06.2010,"PHARMACEUTICAL COMPOSITION CONTAINING HERBAL EXTRACTS FOR PREVENTING OR
TREATING NEPHRITIS","Ahn-Gook Pharmaceutical Co., Ltd.",Company,South korea,"AUH, Jin, KIM, Chang-Hwan Hwaseong-si,  HAN, Chang-Kyun,  YEON, Sung-Hum Suwon-si, CHOE, Seung-In, SHIN, Young-June
Gimhae-si
",South korea,Growth of mesangial cells of the kidney.,"Liquid extract, washing, drying, filteration, lyophilization"," Crataegi Fructus, Cinnamomi Cortex , Prunella Spica , Equiseti Herba ", Nephritis,Y,22.02.2017,09.12.2010,"A61K 36/73 (2006.01) A61P 13/12 (2006.01)
A61K 36/54 (2006.01) A61K 36/734 (2006.01)
A61K 36/11 (2006.01) A61K 36/536 (2006.01)"
82,"PCT/IN2005/000223
",WO 2006/129325, 30.06.2005," Herbal formulation for the prevention and mangement of diabetes mellitus and diabetic
micro-vascular complications","Gill, Gurpreet Singh, Gill, Harinder Singh",Individual,India," DUBEY, Govind, Prasad, AGARWAL, Aruna, VYAS, Neers,  RAJAMANICKAM, Victor, G
",India," Delay or
stop the use of insulinin patients suffering from type II diabetes,  regulates the
abnormal lipo protein metabolism among the diabetics patients.", Hydro - alcoholic extraction,"Salacia chinensis, Coccinia indica and Hippophae rhamnoides"," Diabetes mellitus and diabetic
micro-vascular complications
",Y,14.06.2017,07.12.2006 ,A61K 6/00 (2006.01)
83,"PCT/EP2013/071766
",WO 2014/060539, 17.10.2013,NEW FORMULATIONS COMPRISING PLANT EXTRACTS,MONTERO GIDA SANAYI VE TICARET ,Company, Istanbul ,"CIFTER, Ümit,  ARABACIOGLU, Nazife, TOKER, Özlem", Istanbul ,"Good physical stability,  clear and homogeneous appearance, ",Extraction," Hedera helix,
Pelargonium sidoides , and Zingiber officinale,", Respiratory diseases or alleviation and/or elimination,Y,12.07.2017,24.04.2014,"A61K 36/185 (2006.01) A61K 36/61 (2006.01)
A61K 36/25 (2006.01) A61K 47/26 (2006.01)
A61P 11/00 (2006.01) A61K 36/906 (2006.01)
A61K 35/64 (2015.01) A61K 36/9068 (2006.01)
A61K 45/06 (2006.01) A61K 47/10 (2017.01)
A61K 36/28 (2006.01) A61K 36/484 (2006.01)
A61K 9/00 (2006.01) A61K 35/644 (2015.01)"
84,"PCT/IL2011/050081
",WO 2012/090205,28.12.2011,PLANT EXTRACTS FOR THE TREATMENT AND PREVENTION OF INFECTIONS,"Kamedis Ltd, Bio-FD & C. Co., Ltd.",Company,"US, South korea"," ROZENBLAT, Sharon, JUNG, DaiHyun,  MOH, SangHyun, KIM, SuJung,  LEE, JungHun

","US, South korea"," Prevention of a skin infection
in a subject in need thereof, wherein the skin infection is an atopic disease.","Aqueous extraction, high-performance
liquid chromatography, Resin chromatography","Sanguisorbae officinalis, Ailanthus altissima, Galla
rhois gallnut, Glycyrrhiza Glabra, Rheum palmatum, Scutellaria baicalensis.", Chronic inflammatory diseases.,Y,26.07.2017,05.07.2012,"A61P 31/00 (2006.01) A61K 36/484 (2006.01)
A61K 36/539 (2006.01) A61K 36/708 (2006.01)
A61K 36/739 (2006.01) A61K 36/185 (2006.01)
A61K 36/28 (2006.01)"
